TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	MinCount	MaxCount	MedianCount	GeomeanCount	NumberOfProbesIncluded	NumberOfProbesTotal	GeneID
GRAP	GRAP	All Targets	RNA	Endogenous	01	1	249	16	14.252247	1	1	10750
KIF1B	KIF1B	All Targets	RNA	Endogenous	01	1	450	46	42.35375494	1	1	23095
SNX4	SNX4	All Targets	RNA	Endogenous	01	1	303	26	24.32279818	1	1	8723
BAG2	BAG2	All Targets	RNA	Endogenous	01	1	285	21.5	21.75336374	1	1	9532
DMRTA1	DMRTA1	All Targets	RNA	Endogenous	01	1	250	18.5	17.18341878	1	1	63951
IVL	IVL	All Targets	RNA	Endogenous	01	1	247	17.5	15.29607795	1	1	3713
CCDC130	CCDC130	All Targets	RNA	Endogenous	01	1	258	20	18.04851038	1	1	81576
CRISP1	CRISP1	All Targets	RNA	Endogenous	01	1	369	22.5	19.83844467	1	1	167
CD53	CD53	All Targets	RNA	Endogenous	01	1	326	22	21.17171221	1	1	963
KLK11	KLK11	All Targets	RNA	Endogenous	01	1	287	19.5	17.30896165	1	1	11012
SYT1	SYT1	All Targets	RNA	Endogenous	01	4	2442	130	127.8165947	1	1	6857
H2AB1	"H2AB1,H2AB2,H2AB3"	All Targets	RNA	Endogenous	01	1	94	8	7.482305676	1	1	474382
ZNF461	ZNF461	All Targets	RNA	Endogenous	01	1	196	22	20.92567569	1	1	92283
WDR48	WDR48	All Targets	RNA	Endogenous	01	1	371	31	28.97092144	1	1	57599
HAS1	HAS1	All Targets	RNA	Endogenous	01	1	137	13	12.04225631	1	1	3036
ZNF598	ZNF598	All Targets	RNA	Endogenous	01	1	344	23	21.97835356	1	1	90850
BIRC8	BIRC8	All Targets	RNA	Endogenous	01	1	232	16	15.32945667	1	1	112401
FAM214A	FAM214A	All Targets	RNA	Endogenous	01	1	262	22	22.88331116	1	1	56204
CYBRD1	CYBRD1	All Targets	RNA	Endogenous	01	1	479	29.5	28.28241926	1	1	79901
CTXND2	CTXND2	All Targets	RNA	Endogenous	01	1	101	11.5	10.59290479	1	1	100996521
GPRIN1	GPRIN1	All Targets	RNA	Endogenous	01	1	156	16	16.05269005	1	1	114787
PYGM	PYGM	All Targets	RNA	Endogenous	01	1	330	23	21.89573661	1	1	5837
MORN3	MORN3	All Targets	RNA	Endogenous	01	1	338	25.5	24.04424376	1	1	283385
SYK	SYK	All Targets	RNA	Endogenous	01	1	264	19	19.11897802	1	1	6850
RNF138	"RNF138,RNF138P1"	All Targets	RNA	Endogenous	01	1	230	18	16.65358017	1	1	51444
PPP1CB	PPP1CB	All Targets	RNA	Endogenous	01	4	593	67	67.5265206	1	1	5500
SNRNP200	SNRNP200	All Targets	RNA	Endogenous	01	1	312	28	26.57804094	1	1	23020
MVB12B	MVB12B	All Targets	RNA	Endogenous	01	1	190	22.5	21.14986321	1	1	89853
TPM4	TPM4	All Targets	RNA	Endogenous	01	1	313	33.5	34.24989755	1	1	7171
GABRA5	GABRA5	All Targets	RNA	Endogenous	01	1	393	39.5	33.56156798	1	1	2558
HOMEZ	HOMEZ	All Targets	RNA	Endogenous	01	1	334	22	19.65242295	1	1	57594
FBXO40	FBXO40	All Targets	RNA	Endogenous	01	1	336	21	18.62391798	1	1	51725
SMPD4	SMPD4	All Targets	RNA	Endogenous	01	1	315	28	25.53500233	1	1	55627
WDR31	WDR31	All Targets	RNA	Endogenous	01	1	303	20	19.4531681	1	1	114987
SFXN5	SFXN5	All Targets	RNA	Endogenous	01	1	394	30	30.95608124	1	1	94097
POM121C	"POM121C,POM121"	All Targets	RNA	Endogenous	01	1	184	28.5	26.34047299	1	1	100101267
CCDC8	CCDC8	All Targets	RNA	Endogenous	01	1	163	15.5	14.49498833	1	1	83987
CTNNBL1	CTNNBL1	All Targets	RNA	Endogenous	01	1	410	32.5	31.9320485	1	1	56259
ZFP36L2	ZFP36L2	All Targets	RNA	Endogenous	01	1	145	15	14.90224391	1	1	678
CHMP4B	CHMP4B	All Targets	RNA	Endogenous	01	1	439	49.5	49.06589239	1	1	128866
OR5D14	OR5D14	All Targets	RNA	Endogenous	01	1	301	20	17.15965521	1	1	219436
C16orf92	C16orf92	All Targets	RNA	Endogenous	01	1	197	15	12.95859441	1	1	146378
AGBL1	AGBL1	All Targets	RNA	Endogenous	01	1	284	19.5	18.63725619	1	1	123624
ALOX12B	ALOX12B	All Targets	RNA	Endogenous	01	1	282	20.5	18.59486979	1	1	242
DGAT1	DGAT1	All Targets	RNA	Endogenous	01	1	278	27	27.197972	1	1	8694
MED24	MED24	All Targets	RNA	Endogenous	01	1	178	19	19.43417988	1	1	9862
PIK3C3	PIK3C3	All Targets	RNA	Endogenous	01	1	306	29	26.76993068	1	1	5289
MARF1	MARF1	All Targets	RNA	Endogenous	01	1	256	29	28.453727	1	1	9665
UTP18	UTP18	All Targets	RNA	Endogenous	01	1	393	32.5	31.74116148	1	1	51096
UBE2L6	UBE2L6	All Targets	RNA	Endogenous	01	1	291	25	24.68196853	1	1	9246
ZNF473	ZNF473	All Targets	RNA	Endogenous	01	1	248	19	17.00027637	1	1	25888
PHLDA3	PHLDA3	All Targets	RNA	Endogenous	01	1	206	20.5	20.31795238	1	1	23612
UBE2J2	UBE2J2	All Targets	RNA	Endogenous	01	1	256	20	18.83682776	1	1	118424
ZNF573	ZNF573	All Targets	RNA	Endogenous	01	1	292	23	21.54799526	1	1	126231
SEPTIN9	SEPTIN9	All Targets	RNA	Endogenous	01	2	288	31.5	30.33001068	1	1	10801
CDH9	CDH9	All Targets	RNA	Endogenous	01	1	226	22	20.33747772	1	1	1007
TMED4	TMED4	All Targets	RNA	Endogenous	01	1	301	30	30.7132899	1	1	222068
ORC6	ORC6	All Targets	RNA	Endogenous	01	1	435	26	25.07533931	1	1	23594
UBD	UBD	All Targets	RNA	Endogenous	01	1	134	11	10.54022359	1	1	10537
MYO3A	MYO3A	All Targets	RNA	Endogenous	01	1	289	17	15.99761132	1	1	53904
SLC2A14	SLC2A14	All Targets	RNA	Endogenous	01	1	92	13	11.74257175	1	1	144195
CCDC144A	"CCDC144B,CCDC144CP,CCDC144A"	All Targets	RNA	Endogenous	01	1	124	17	14.71269404	1	1	9720
ZKSCAN3	ZKSCAN3	All Targets	RNA	Endogenous	01	1	378	26	27.15213434	1	1	80317
GDF2	GDF2	All Targets	RNA	Endogenous	01	1	117	11	10.56044396	1	1	2658
OR2T5	"OR2T5,OR2T29"	All Targets	RNA	Endogenous	01	1	292	21	20.78942051	1	1	401993
VAMP7	VAMP7	All Targets	RNA	Endogenous	01	1	257	23.5	21.98996781	1	1	6845
ILF2	ILF2	All Targets	RNA	Endogenous	01	1	152	18	16.84611755	1	1	3608
TOP2B	TOP2B	All Targets	RNA	Endogenous	01	1	336	40.5	40.50303756	1	1	7155
CSRNP2	CSRNP2	All Targets	RNA	Endogenous	01	1	336	33	29.89417778	1	1	81566
HOXC5	HOXC5	All Targets	RNA	Endogenous	01	1	182	14	13.40695261	1	1	3222
DNM2	DNM2	All Targets	RNA	Endogenous	01	1	330	38.5	36.34337064	1	1	1785
ANKRD18B	ANKRD18B	All Targets	RNA	Endogenous	01	1	315	23	20.06930901	1	1	441459
SPATA18	SPATA18	All Targets	RNA	Endogenous	01	1	348	25.5	23.13565412	1	1	132671
OCEL1	OCEL1	All Targets	RNA	Endogenous	01	1	341	25	22.07304178	1	1	79629
RP1	RP1	All Targets	RNA	Endogenous	01	1	106	11	10.02933729	1	1	6101
KCND2	KCND2	All Targets	RNA	Endogenous	01	1	162	21	18.49454599	1	1	3751
ZNF660	ZNF660	All Targets	RNA	Endogenous	01	1	274	17	18.31707698	1	1	285349
POU1F1	POU1F1	All Targets	RNA	Endogenous	01	1	312	20	17.21872753	1	1	5449
SLC25A37	SLC25A37	All Targets	RNA	Endogenous	01	1	247	21.5	20.57199063	1	1	51312
ZWILCH	ZWILCH	All Targets	RNA	Endogenous	01	1	322	21.5	21.36290429	1	1	55055
LMBR1L	LMBR1L	All Targets	RNA	Endogenous	01	1	272	23.5	23.14861141	1	1	55716
TAB1	TAB1	All Targets	RNA	Endogenous	01	1	254	24	21.136222	1	1	10454
TEX14	TEX14	All Targets	RNA	Endogenous	01	1	390	23	21.65322998	1	1	56155
EVX1	EVX1	All Targets	RNA	Endogenous	01	1	194	20	20.10560634	1	1	2128
ARL4C	ARL4C	All Targets	RNA	Endogenous	01	1	259	26.5	25.31128705	1	1	10123
KCNG3	KCNG3	All Targets	RNA	Endogenous	01	1	250	22.5	21.05245562	1	1	170850
IK	IK	All Targets	RNA	Endogenous	01	1	176	25.5	24.37595452	1	1	3550
USPL1	USPL1	All Targets	RNA	Endogenous	01	1	303	20	19.91377264	1	1	10208
WNT9A	WNT9A	All Targets	RNA	Endogenous	01	1	195	16	16.24919171	1	1	7483
CRH	CRH	All Targets	RNA	Endogenous	01	1	295	19	19.10002624	1	1	1392
TBC1D19	TBC1D19	All Targets	RNA	Endogenous	01	1	392	26.5	25.1286301	1	1	55296
PRR7	PRR7	All Targets	RNA	Endogenous	01	1	244	25.5	23.93394929	1	1	80758
SPATA31E1	SPATA31E1	All Targets	RNA	Endogenous	01	1	275	18.5	18.24933986	1	1	286234
GPX4	GPX4	All Targets	RNA	Endogenous	01	2	595	75.5	79.91352729	1	1	2879
OXCT1	OXCT1	All Targets	RNA	Endogenous	01	1	461	41.5	39.78039087	1	1	5019
ZMYND15	ZMYND15	All Targets	RNA	Endogenous	01	1	217	15	13.47325626	1	1	84225
LGALS2	LGALS2	All Targets	RNA	Endogenous	01	1	255	18	18.47988863	1	1	3957
CALHM4	CALHM4	All Targets	RNA	Endogenous	01	1	278	22.5	19.09052625	1	1	221301
FRMPD2	FRMPD2	All Targets	RNA	Endogenous	01	1	273	19	17.25975158	1	1	143162
ZNF34	ZNF34	All Targets	RNA	Endogenous	01	1	258	19.5	16.87440382	1	1	80778
SLC10A2	SLC10A2	All Targets	RNA	Endogenous	01	1	376	23	20.10390511	1	1	6555
NMBR	NMBR	All Targets	RNA	Endogenous	01	1	191	16	14.13765242	1	1	4829
TC2N	TC2N	All Targets	RNA	Endogenous	01	1	324	21	20.04905215	1	1	123036
RGL4	RGL4	All Targets	RNA	Endogenous	01	1	268	21	18.16971104	1	1	266747
MEF2B	MEF2B	All Targets	RNA	Endogenous	01	1	331	21	19.21083023	1	1	100271849
U2AF2	U2AF2	All Targets	RNA	Endogenous	01	1	339	34	32.994917	1	1	11338
PRDM1	PRDM1	All Targets	RNA	Endogenous	01	1	160	13	13.21944182	1	1	639
BLM	BLM	All Targets	RNA	Endogenous	01	1	283	22	21.55449474	1	1	641
PCYT2	PCYT2	All Targets	RNA	Endogenous	01	1	199	20.5	19.57105482	1	1	5833
MYO18A	MYO18A	All Targets	RNA	Endogenous	01	1	235	24	24.63270106	1	1	399687
GOLGB1	GOLGB1	All Targets	RNA	Endogenous	01	1	350	32	30.24711449	1	1	2804
ZNF33B	ZNF33B	All Targets	RNA	Endogenous	01	1	171	17	16.96827809	1	1	7582
WASF1	WASF1	All Targets	RNA	Endogenous	01	1	589	60	54.51459825	1	1	8936
F13B	F13B	All Targets	RNA	Endogenous	01	1	286	21.5	19.72549141	1	1	2165
RANBP6	RANBP6	All Targets	RNA	Endogenous	01	1	323	30	29.59313172	1	1	26953
FES	FES	All Targets	RNA	Endogenous	01	1	123	12	11.89118165	1	1	2242
SERINC5	SERINC5	All Targets	RNA	Endogenous	01	1	272	22	21.7247075	1	1	256987
BEST1	BEST1	All Targets	RNA	Endogenous	01	1	143	13	12.92216223	1	1	7439
EEF2KMT	EEF2KMT	All Targets	RNA	Endogenous	01	1	100	12.5	12.37978948	1	1	196483
KIF26A	KIF26A	All Targets	RNA	Endogenous	01	1	273	20.5	18.93464411	1	1	26153
CAPN14	CAPN14	All Targets	RNA	Endogenous	01	1	304	20	18.32079306	1	1	440854
UTS2B	UTS2B	All Targets	RNA	Endogenous	01	1	211	14	14.30465041	1	1	257313
PRB4	PRB4	All Targets	RNA	Endogenous	01	1	316	20.5	17.61238658	1	1	5545
ADAMTS9	ADAMTS9	All Targets	RNA	Endogenous	01	1	143	13	12.68305572	1	1	56999
SLC38A11	SLC38A11	All Targets	RNA	Endogenous	01	1	326	26	24.47587861	1	1	151258
GCSAML	GCSAML	All Targets	RNA	Endogenous	01	1	330	22	19.03101524	1	1	148823
HAS3	HAS3	All Targets	RNA	Endogenous	01	1	267	15	14.17055897	1	1	3038
MAL	MAL	All Targets	RNA	Endogenous	01	1	631	29	28.68648988	1	1	4118
SLC27A5	SLC27A5	All Targets	RNA	Endogenous	01	1	146	14	12.96251698	1	1	10998
SHQ1	SHQ1	All Targets	RNA	Endogenous	01	1	343	20	19.71382889	1	1	55164
KPRP	KPRP	All Targets	RNA	Endogenous	01	1	301	19	18.95360874	1	1	448834
CBY3	CBY3	All Targets	RNA	Endogenous	01	1	105	11.5	10.3326961	1	1	646019
IRF2BPL	IRF2BPL	All Targets	RNA	Endogenous	01	1	276	24.5	23.75682599	1	1	64207
OR10P1	OR10P1	All Targets	RNA	Endogenous	01	1	278	18	16.71558192	1	1	121130
ARMC7	ARMC7	All Targets	RNA	Endogenous	01	1	164	20	19.82797229	1	1	79637
APOM	APOM	All Targets	RNA	Endogenous	01	1	143	12.5	11.7992972	1	1	55937
HAUS7	HAUS7	All Targets	RNA	Endogenous	01	1	319	27	25.76406335	1	1	55559
PTTG1IP	PTTG1IP	All Targets	RNA	Endogenous	01	1	431	33	34.18030114	1	1	754
ETV2	ETV2	All Targets	RNA	Endogenous	01	1	321	23.5	20.41282142	1	1	2116
TGIF2LY	"TGIF2LY,TGIF2LX"	All Targets	RNA	Endogenous	01	1	315	19	17.16811727	1	1	90655
VPS8	VPS8	All Targets	RNA	Endogenous	01	1	384	30.5	29.92179396	1	1	23355
ZNF507	ZNF507	All Targets	RNA	Endogenous	01	1	299	28	23.34131852	1	1	22847
YY2	YY2	All Targets	RNA	Endogenous	01	1	269	18	16.23513334	1	1	404281
RCVRN	RCVRN	All Targets	RNA	Endogenous	01	1	278	20	19.0579943	1	1	5957
TRAM2	TRAM2	All Targets	RNA	Endogenous	01	1	108	12	11.35566049	1	1	9697
BBIP1	BBIP1	All Targets	RNA	Endogenous	01	1	357	30	28.30989164	1	1	92482
NHLRC4	NHLRC4	All Targets	RNA	Endogenous	01	1	134	12	11.91750624	1	1	283948
H2AZ1	H2AZ1	All Targets	RNA	Endogenous	01	1	541	40.5	38.47078114	1	1	3015
SH3BGR	"GET1-SH3BGR,SH3BGR"	All Targets	RNA	Endogenous	01	1	382	29.5	27.09797804	1	1	6450
ENKUR	ENKUR	All Targets	RNA	Endogenous	01	1	299	20.5	19.60652307	1	1	219670
SRSF4	SRSF4	All Targets	RNA	Endogenous	01	1	229	26.5	25.45311037	1	1	6429
SLC25A20	SLC25A20	All Targets	RNA	Endogenous	01	1	348	29	24.67609492	1	1	788
SMG8	SMG8	All Targets	RNA	Endogenous	01	1	347	23	22.67311809	1	1	55181
ERAP2	ERAP2	All Targets	RNA	Endogenous	01	1	276	20	17.77330682	1	1	64167
TMEM252	TMEM252	All Targets	RNA	Endogenous	01	1	367	21	20.07745779	1	1	169693
SMARCE1	SMARCE1	All Targets	RNA	Endogenous	01	1	330	36.5	34.45720864	1	1	6605
FBXO46	FBXO46	All Targets	RNA	Endogenous	01	1	278	20	18.67826488	1	1	23403
EIF3M	EIF3M	All Targets	RNA	Endogenous	01	1	301	35.5	32.95132656	1	1	10480
MSH6	MSH6	All Targets	RNA	Endogenous	01	1	383	28.5	26.32067095	1	1	2956
ZKSCAN4	ZKSCAN4	All Targets	RNA	Endogenous	01	1	179	14.5	13.59142976	1	1	387032
ITGBL1	ITGBL1	All Targets	RNA	Endogenous	01	1	260	20	16.29244458	1	1	9358
XYLT1	XYLT1	All Targets	RNA	Endogenous	01	1	366	31	29.949333	1	1	64131
PTPRZ1	PTPRZ1	All Targets	RNA	Endogenous	01	1	484	45	39.1293432	1	1	5803
SLC16A7	SLC16A7	All Targets	RNA	Endogenous	01	1	286	25.5	23.52778202	1	1	9194
L3MBTL4	L3MBTL4	All Targets	RNA	Endogenous	01	1	277	23	22.59732294	1	1	91133
MYOCD	MYOCD	All Targets	RNA	Endogenous	01	1	246	18	17.04561887	1	1	93649
CENPH	CENPH	All Targets	RNA	Endogenous	01	1	299	22	18.79220091	1	1	64946
ADAMTSL5	ADAMTSL5	All Targets	RNA	Endogenous	01	1	412	26	23.04973507	1	1	339366
NR6A1	NR6A1	All Targets	RNA	Endogenous	01	1	231	17.5	15.54728931	1	1	2649
P2RX7	P2RX7	All Targets	RNA	Endogenous	01	1	223	21	20.47804756	1	1	5027
MCC	MCC	All Targets	RNA	Endogenous	01	1	296	19	18.32962235	1	1	4163
MAIP1	MAIP1	All Targets	RNA	Endogenous	01	1	348	27.5	24.43318009	1	1	79568
WDR1	WDR1	All Targets	RNA	Endogenous	01	1	362	37.5	38.45826365	1	1	9948
SGSH	SGSH	All Targets	RNA	Endogenous	01	1	316	22	22.78354203	1	1	6448
FUT8	FUT8	All Targets	RNA	Endogenous	01	1	349	25	24.86802259	1	1	2530
TMEM125	TMEM125	All Targets	RNA	Endogenous	01	1	84	8	8.279453822	1	1	128218
USP19	USP19	All Targets	RNA	Endogenous	01	1	265	21.5	21.42079937	1	1	10869
ZNF154	ZNF154	All Targets	RNA	Endogenous	01	1	330	26	23.44223309	1	1	7710
FAM47A	FAM47A	All Targets	RNA	Endogenous	01	1	550	28	25.04493797	1	1	158724
PRLH	PRLH	All Targets	RNA	Endogenous	01	1	359	21	18.90525707	1	1	51052
TSPAN3	TSPAN3	All Targets	RNA	Endogenous	01	1	365	44.5	43.577412	1	1	10099
SLC4A9	SLC4A9	All Targets	RNA	Endogenous	01	1	261	18	15.97806882	1	1	83697
SLBP	SLBP	All Targets	RNA	Endogenous	01	1	292	33.5	30.9713273	1	1	7884
C9orf153	C9orf153	All Targets	RNA	Endogenous	01	1	325	23	20.99708277	1	1	389766
CARNS1	CARNS1	All Targets	RNA	Endogenous	01	1	310	19.5	19.99215906	1	1	57571
GEMIN8	GEMIN8	All Targets	RNA	Endogenous	01	1	301	21	19.54163265	1	1	54960
LDB1	LDB1	All Targets	RNA	Endogenous	01	1	273	31.5	29.73684433	1	1	8861
ZNF483	ZNF483	All Targets	RNA	Endogenous	01	1	435	56.5	50.01963094	1	1	158399
ATF1	ATF1	All Targets	RNA	Endogenous	01	1	252	22	20.80626034	1	1	466
NFKBID	NFKBID	All Targets	RNA	Endogenous	01	1	267	18.5	15.54798453	1	1	84807
UACA	UACA	All Targets	RNA	Endogenous	01	1	345	22	19.60345991	1	1	55075
MMGT1	MMGT1	All Targets	RNA	Endogenous	01	1	289	25	23.69860475	1	1	93380
HPRT1	HPRT1	All Targets	RNA	Endogenous	01	1	446	51	43.86288461	1	1	3251
B3GNT9	B3GNT9	All Targets	RNA	Endogenous	01	1	271	18	16.04798691	1	1	84752
SPEM2	SPEM2	All Targets	RNA	Endogenous	01	1	268	18	17.06726381	1	1	201243
ACVRL1	ACVRL1	All Targets	RNA	Endogenous	01	1	293	21	18.99868937	1	1	94
DSP	DSP	All Targets	RNA	Endogenous	01	1	356	23	20.70318759	1	1	1832
OR11H6	OR11H6	All Targets	RNA	Endogenous	01	1	312	22	19.71013015	1	1	122748
FGD2	FGD2	All Targets	RNA	Endogenous	01	1	279	18	17.76053701	1	1	221472
C1orf127	C1orf127	All Targets	RNA	Endogenous	01	1	232	17	15.09117352	1	1	148345
FBXW8	FBXW8	All Targets	RNA	Endogenous	01	1	229	17	15.52817725	1	1	26259
CHRDL2	CHRDL2	All Targets	RNA	Endogenous	01	1	308	20	18.31775087	1	1	25884
RPS18	RPS18	All Targets	RNA	Endogenous	01	4	778	81.5	90.38279213	1	1	6222
SLC5A12	SLC5A12	All Targets	RNA	Endogenous	01	1	116	11	9.909403291	1	1	159963
INHA	INHA	All Targets	RNA	Endogenous	01	1	366	27	24.7178252	1	1	3623
C17orf50	C17orf50	All Targets	RNA	Endogenous	01	1	128	10	9.321022079	1	1	146853
FSTL4	FSTL4	All Targets	RNA	Endogenous	01	1	337	25	23.38054722	1	1	23105
OR2D3	OR2D3	All Targets	RNA	Endogenous	01	1	305	21	18.63317409	1	1	120775
ALKBH3	ALKBH3	All Targets	RNA	Endogenous	01	1	329	22.5	22.12009101	1	1	221120
PZP	PZP	All Targets	RNA	Endogenous	01	1	276	19	17.63193284	1	1	5858
PPP4C	PPP4C	All Targets	RNA	Endogenous	01	1	292	27	25.9981808	1	1	5531
KCTD10	KCTD10	All Targets	RNA	Endogenous	01	1	365	28.5	27.22997562	1	1	83892
TBC1D25	TBC1D25	All Targets	RNA	Endogenous	01	1	219	23	19.91650974	1	1	4943
LDHA	LDHA	All Targets	RNA	Endogenous	01	3	728	75.5	81.54226093	1	1	3939
FOXO1	FOXO1	All Targets	RNA	Endogenous	01	1	146	14.5	13.88535336	1	1	2308
TRIM56	TRIM56	All Targets	RNA	Endogenous	01	1	317	21	18.70481305	1	1	81844
RNF112	RNF112	All Targets	RNA	Endogenous	01	1	282	33	30.15838376	1	1	7732
RAB9B	RAB9B	All Targets	RNA	Endogenous	01	1	295	26	24.33274175	1	1	51209
ARL15	ARL15	All Targets	RNA	Endogenous	01	1	207	21	19.70946554	1	1	54622
IGFN1	IGFN1	All Targets	RNA	Endogenous	01	1	101	11	9.936150822	1	1	91156
CROCC2	CROCC2	All Targets	RNA	Endogenous	01	1	121	12.5	10.84953972	1	1	728763
TNF	TNF	All Targets	RNA	Endogenous	01	1	353	22.5	19.76257761	1	1	7124
STAT5B	STAT5B	All Targets	RNA	Endogenous	01	1	355	29	30.57041269	1	1	6777
SLC44A2	SLC44A2	All Targets	RNA	Endogenous	01	1	342	27	28.19066901	1	1	57153
ROS1	ROS1	All Targets	RNA	Endogenous	01	1	262	18	16.77308974	1	1	6098
SNX13	SNX13	All Targets	RNA	Endogenous	01	1	326	36	33.83558354	1	1	23161
SDC4	SDC4	All Targets	RNA	Endogenous	01	1	449	28	28.3806866	1	1	6385
CCDC181	CCDC181	All Targets	RNA	Endogenous	01	1	313	24	22.83443035	1	1	57821
SPTA1	SPTA1	All Targets	RNA	Endogenous	01	1	253	17.5	17.02041925	1	1	6708
C12orf54	C12orf54	All Targets	RNA	Endogenous	01	1	275	19	18.51626458	1	1	121273
BMP5	BMP5	All Targets	RNA	Endogenous	01	1	307	18.5	18.48820961	1	1	653
H2BC1	H2BC1	All Targets	RNA	Endogenous	01	1	204	15	12.72724862	1	1	255626
ZNF460	ZNF460	All Targets	RNA	Endogenous	01	1	201	23.5	21.02088321	1	1	10794
FOXF2	FOXF2	All Targets	RNA	Endogenous	01	1	156	12.5	12.86840958	1	1	2295
CCNYL1	CCNYL1	All Targets	RNA	Endogenous	01	1	259	21	19.61139468	1	1	151195
USP34	USP34	All Targets	RNA	Endogenous	01	1	234	25.5	25.13591531	1	1	9736
HBA1	HBA1	All Targets	RNA	Endogenous	01	1	164	25.5	26.21686357	1	1	3039
FEZF1	FEZF1	All Targets	RNA	Endogenous	01	1	273	18	16.83010352	1	1	389549
MGST2	MGST2	All Targets	RNA	Endogenous	01	1	363	28	26.99088348	1	1	4258
IGFBP5	IGFBP5	All Targets	RNA	Endogenous	01	1	175	21	17.49144737	1	1	3488
CEND1	CEND1	All Targets	RNA	Endogenous	01	3	670	58.5	57.33224398	1	1	51286
MARCKSL1	MARCKSL1	All Targets	RNA	Endogenous	01	3	1030	54	59.5906508	1	1	65108
ATPSCKMT	ATPSCKMT	All Targets	RNA	Endogenous	01	1	320	23	21.79583698	1	1	134145
INPP5F	INPP5F	All Targets	RNA	Endogenous	01	2	668	54	51.22073579	1	1	22876
OR2C1	OR2C1	All Targets	RNA	Endogenous	01	1	229	18	16.05215863	1	1	4993
MMP24	MMP24	All Targets	RNA	Endogenous	01	1	210	14	13.04555002	1	1	10893
SHISA9	SHISA9	All Targets	RNA	Endogenous	01	1	307	25	23.45079651	1	1	729993
LIG1	LIG1	All Targets	RNA	Endogenous	01	1	279	20	18.4922484	1	1	3978
MARCHF2	MARCHF2	All Targets	RNA	Endogenous	01	1	319	32	34.04348784	1	1	51257
GPHA2	GPHA2	All Targets	RNA	Endogenous	01	1	221	16	15.24271208	1	1	170589
RAD18	RAD18	All Targets	RNA	Endogenous	01	1	271	19	17.45841702	1	1	56852
TP73	TP73	All Targets	RNA	Endogenous	01	1	241	15	15.20676421	1	1	7161
PTH2	PTH2	All Targets	RNA	Endogenous	01	1	249	20	17.48236595	1	1	113091
FAM171B	FAM171B	All Targets	RNA	Endogenous	01	1	473	49.5	45.73346737	1	1	165215
PGBD2	PGBD2	All Targets	RNA	Endogenous	01	1	319	19	18.07705152	1	1	267002
NHLRC3	NHLRC3	All Targets	RNA	Endogenous	01	1	262	23	21.03422104	1	1	387921
TIMP4	TIMP4	All Targets	RNA	Endogenous	01	1	290	24	22.68213612	1	1	7079
RBMS2	RBMS2	All Targets	RNA	Endogenous	01	1	176	15	15.27844711	1	1	5939
CLDN11	CLDN11	All Targets	RNA	Endogenous	01	1	643	27	30.27159424	1	1	5010
CCPG1	CCPG1	All Targets	RNA	Endogenous	01	1	111	12	10.60470044	1	1	9236
MPO	MPO	All Targets	RNA	Endogenous	01	1	132	11	10.88051672	1	1	4353
LGALS14	LGALS14	All Targets	RNA	Endogenous	01	1	422	27	23.55231456	1	1	56891
RPS20	RPS20	All Targets	RNA	Endogenous	01	7	1174	121	121.8273849	1	1	6224
ZGLP1	ZGLP1	All Targets	RNA	Endogenous	01	1	89	8	8.602909986	1	1	100125288
SUSD4	SUSD4	All Targets	RNA	Endogenous	01	1	317	35	31.09687199	1	1	55061
GPD1L	GPD1L	All Targets	RNA	Endogenous	01	1	306	30.5	27.93156628	1	1	23171
SNHG32	SNHG32	All Targets	RNA	Endogenous	01	1	354	33.5	33.05689832	1	1	50854
NDP	NDP	All Targets	RNA	Endogenous	01	1	364	25	23.36832886	1	1	4693
LCE6A	LCE6A	All Targets	RNA	Endogenous	01	1	277	18.5	17.56209577	1	1	448835
CCT3	CCT3	All Targets	RNA	Endogenous	01	1	312	40	35.30368548	1	1	7203
LTB4R	LTB4R	All Targets	RNA	Endogenous	01	1	124	11	10.9784004	1	1	1241
KRT16	KRT16	All Targets	RNA	Endogenous	01	1	218	16	15.11078924	1	1	3868
ACOT13	ACOT13	All Targets	RNA	Endogenous	01	1	381	31.5	30.28396556	1	1	55856
TAF13	TAF13	All Targets	RNA	Endogenous	01	1	339	31	31.37022723	1	1	6884
GAREM1	GAREM1	All Targets	RNA	Endogenous	01	1	332	24	23.21075226	1	1	64762
ZBTB12	ZBTB12	All Targets	RNA	Endogenous	01	1	166	14	13.01924611	1	1	221527
FRZB	FRZB	All Targets	RNA	Endogenous	01	1	142	16	13.73129161	1	1	2487
KRTAP9-2	"KRTAP9-8,KRTAP9-9,KRTAP9-2,KRTAP9-3,KRTAP9-6,KRTAP9-7"	All Targets	RNA	Endogenous	01	1	263	20	20.41454118	1	1	83899
RPS10	"RPS10,RPS10-NUDT3,RPS10P7"	All Targets	RNA	Endogenous	01	1	418	61.5	62.79119357	1	1	6204
SH3D21	SH3D21	All Targets	RNA	Endogenous	01	1	324	29.5	27.39566263	1	1	79729
B3GNT7	B3GNT7	All Targets	RNA	Endogenous	01	1	319	20	18.90629733	1	1	93010
CPLX1	CPLX1	All Targets	RNA	Endogenous	01	1	505	35.5	38.36957023	1	1	10815
RPL24	"RPL24,MAMDC2"	All Targets	RNA	Endogenous	01	4	878	84	87.43090374	1	1	6152
PRR18	PRR18	All Targets	RNA	Endogenous	01	1	462	29.5	27.73743563	1	1	285800
